Date,Open,High,Low,Close,Volume,symbol
2021-06-28,45.720001220703125,49.650001525878906,45.54999923706055,49.400001525878906,90202800,NIO
2021-06-29,49.150001525878906,50.61000061035156,48.54999923706055,50.34000015258789,64800100,NIO
2021-06-30,50.58000183105469,53.84000015258789,50.54999923706055,53.20000076293945,92031100,NIO
2021-07-01,54.77000045776367,55.130001068115234,50.27000045776367,50.900001525878906,124253000,NIO
2021-07-02,51.2599983215332,51.470001220703125,48.529998779296875,50.400001525878906,78631100,NIO
2021-06-28,42.400001525878906,45.529998779296875,42.36000061035156,45.310001373291016,16329400,XPEV
2021-06-29,44.150001525878906,45.099998474121094,43.369998931884766,44.31999969482422,14390200,XPEV
2021-06-30,43.22999954223633,44.779998779296875,43.029998779296875,44.41999816894531,22597400,XPEV
2021-07-01,46.279998779296875,47.97999954223633,42.900001525878906,43.65999984741211,34361500,XPEV
2021-07-02,43.810001373291016,44.119998931884766,41.5099983215332,43.7400016784668,17669300,XPEV
2021-06-28,33.93000030517578,34.209999084472656,32.78099822998047,33.81999969482422,9559200,FUBO
2021-06-29,33.790000915527344,34.099998474121094,31.68000030517578,31.940000534057617,8921200,FUBO
2021-06-30,31.40999984741211,32.630001068115234,30.43000030517578,32.11000061035156,7404200,FUBO
2021-07-01,32.689998626708984,32.75,30.719999313354492,30.959999084472656,6161400,FUBO
2021-07-02,30.899999618530273,31.229999542236328,29.1200008392334,30.059999465942383,8765000,FUBO
2021-06-28,17.149999618530273,17.959999084472656,17.1200008392334,17.540000915527344,551700,GAN
2021-06-29,17.670000076293945,17.809999465942383,16.969999313354492,17.049999237060547,487900,GAN
2021-06-30,17.0,17.110000610351562,16.360000610351562,16.440000534057617,553300,GAN
2021-07-01,16.459999084472656,17.049999237060547,16.399999618530273,16.739999771118164,378200,GAN
2021-07-02,16.899999618530273,17.0,16.360000610351562,16.450000762939453,246400,GAN
